Display Log
configuracion terminal - rows: 10 cols: 150
[2024-11-21 12:32:16.269667596] e/o: 0 | n/s: 0
[2024-11-21 12:32:16.670000804] e/o: 1 | n/s: 0
[2024-11-21 12:32:17.070584965] e/o: 3 | n/s: 1
[2024-11-21 12:32:17.471036269] e/o: 4 | n/s: 1
[2024-11-21 12:32:17.871506619] e/o: 4 | n/s: 1
[2024-11-21 12:32:18.272142916] e/o: 5 | n/s: 2
[2024-11-21 12:32:18.672568931] e/o: 6 | n/s: 3
[2024-11-21 12:32:19.073181841] e/o: 7 | n/s: 3
[2024-11-21 12:32:19.473609091] e/o: 10 | n/s: 3
[2024-11-21 12:32:19.874431793] e/o: 11 | n/s: 3
[2024-11-21 12:32:20.275175638] e/o: 11 | n/s: 4
[2024-11-21 12:32:20.675727892] e/o: 11 | n/s: 4
[2024-11-21 12:32:21.076258107] added n/s at k 0
[2024-11-21 12:32:21.076273282] n/s-buffer k 0 | status: 0
[2024-11-21 12:32:21.076278531] e/o: 11 | n/s: 3
[2024-11-21 12:32:21.476713088] n/s-buffer k 0 | status: 1
[2024-11-21 12:32:21.476729098] e/o: 10 | n/s: 3
[2024-11-21 12:32:21.877194423] n/s-buffer k 0 | status: 2
[2024-11-21 12:32:21.877209638] e/o: 10 | n/s: 3
[2024-11-21 12:32:22.277900337] n/s-buffer k 0 | status: 3
[2024-11-21 12:32:22.277912836] e/o: 10 | n/s: 3
[2024-11-21 12:32:22.678169427] n/s-buffer k 0 | status: 4
[2024-11-21 12:32:22.678184963] e/o: 10 | n/s: 3
[2024-11-21 12:32:23.078731932] n/s-buffer k 0 | status: 5
[2024-11-21 12:32:23.078749005] e/o: 10 | n/s: 3
[2024-11-21 12:32:23.479238877] n/s-buffer k 0 | status: 6
[2024-11-21 12:32:23.479254426] e/o: 10 | n/s: 3
[2024-11-21 12:32:23.880039060] e/o: 9 | n/s: 3
[2024-11-21 12:32:24.280717745] e/o: 9 | n/s: 3
[2024-11-21 12:32:24.681082715] e/o: 9 | n/s: 3
[2024-11-21 12:32:25.081938933] e/o: 9 | n/s: 3
[2024-11-21 12:32:25.482329342] e/o: 9 | n/s: 3
[2024-11-21 12:32:25.882664882] e/o: 9 | n/s: 3
[2024-11-21 12:32:26.283153955] e/o: 9 | n/s: 3
[2024-11-21 12:32:26.683557342] e/o: 9 | n/s: 3
[2024-11-21 12:32:27.084307373] added n/s at k 0
[2024-11-21 12:32:27.084320554] n/s-buffer k 0 | status: 0
[2024-11-21 12:32:27.084324960] e/o: 9 | n/s: 2
[2024-11-21 12:32:27.485079200] n/s-buffer k 0 | status: 1
[2024-11-21 12:32:27.485095136] e/o: 9 | n/s: 2
[2024-11-21 12:32:27.885742122] n/s-buffer k 0 | status: 2
[2024-11-21 12:32:27.885756773] e/o: 9 | n/s: 2
[2024-11-21 12:32:28.286356844] n/s-buffer k 0 | status: 3
[2024-11-21 12:32:28.286371137] e/o: 9 | n/s: 2
[2024-11-21 12:32:28.686807008] n/s-buffer k 0 | status: 4
[2024-11-21 12:32:28.686822022] e/o: 9 | n/s: 2
[2024-11-21 12:32:29.087534726] n/s-buffer k 0 | status: 5
[2024-11-21 12:32:29.087550037] e/o: 9 | n/s: 2
[2024-11-21 12:32:29.488130791] n/s-buffer k 0 | status: 6
[2024-11-21 12:32:29.488149474] e/o: 9 | n/s: 2
[2024-11-21 12:32:29.888589560] e/o: 8 | n/s: 2
[2024-11-21 12:32:30.289020213] e/o: 8 | n/s: 2
[2024-11-21 12:32:30.690245146] e/o: 8 | n/s: 2
[2024-11-21 12:32:31.091011075] e/o: 8 | n/s: 2
[2024-11-21 12:32:31.491960602] e/o: 8 | n/s: 2
[2024-11-21 12:32:31.892612535] e/o: 8 | n/s: 2
[2024-11-21 12:32:32.293271624] e/o: 8 | n/s: 2
[2024-11-21 12:32:32.693536152] e/o: 8 | n/s: 2
[2024-11-21 12:32:33.094055821] added n/s at k 0
[2024-11-21 12:32:33.094070084] n/s-buffer k 0 | status: 0
[2024-11-21 12:32:33.094074517] e/o: 8 | n/s: 1
[2024-11-21 12:32:33.494689785] n/s-buffer k 0 | status: 1
[2024-11-21 12:32:33.494705898] e/o: 8 | n/s: 1
[2024-11-21 12:32:33.895157949] n/s-buffer k 0 | status: 2
[2024-11-21 12:32:33.895170695] e/o: 8 | n/s: 1
[2024-11-21 12:32:34.295602078] n/s-buffer k 0 | status: 3
[2024-11-21 12:32:34.295611624] e/o: 8 | n/s: 1
[2024-11-21 12:32:34.695954774] n/s-buffer k 0 | status: 4
[2024-11-21 12:32:34.695979118] e/o: 8 | n/s: 1
[2024-11-21 12:32:35.096353357] n/s-buffer k 0 | status: 5
[2024-11-21 12:32:35.096369307] e/o: 8 | n/s: 1
[2024-11-21 12:32:35.497026245] n/s-buffer k 0 | status: 6
[2024-11-21 12:32:35.497041610] e/o: 8 | n/s: 1
[2024-11-21 12:32:35.897736373] e/o: 7 | n/s: 1
[2024-11-21 12:32:36.298424540] e/o: 7 | n/s: 1
[2024-11-21 12:32:36.699176954] e/o: 7 | n/s: 1
[2024-11-21 12:32:37.099925931] e/o: 7 | n/s: 1
[2024-11-21 12:32:37.500549658] e/o: 7 | n/s: 1
[2024-11-21 12:32:37.900817067] e/o: 7 | n/s: 1
[2024-11-21 12:32:38.301680623] e/o: 7 | n/s: 1
[2024-11-21 12:32:38.702508622] e/o: 6 | n/s: 1
[2024-11-21 12:32:39.103075741] e/o: 6 | n/s: 1
[2024-11-21 12:32:39.503699546] e/o: 6 | n/s: 1
[2024-11-21 12:32:39.904409871] e/o: 6 | n/s: 1
[2024-11-21 12:32:40.304886836] e/o: 6 | n/s: 1
[2024-11-21 12:32:40.705320168] e/o: 6 | n/s: 1
[2024-11-21 12:32:41.106086557] e/o: 6 | n/s: 1
[2024-11-21 12:32:41.506476402] e/o: 6 | n/s: 1
[2024-11-21 12:32:41.906955469] e/o: 5 | n/s: 1
[2024-11-21 12:32:42.307428361] e/o: 5 | n/s: 1
[2024-11-21 12:32:42.708083525] e/o: 5 | n/s: 1
[2024-11-21 12:32:43.108847687] e/o: 5 | n/s: 1
[2024-11-21 12:32:43.509624398] e/o: 5 | n/s: 1
[2024-11-21 12:32:43.910289160] e/o: 5 | n/s: 1
[2024-11-21 12:32:44.311048275] e/o: 5 | n/s: 1
[2024-11-21 12:32:44.711549456] e/o: 4 | n/s: 1
[2024-11-21 12:32:45.112334877] e/o: 4 | n/s: 1
[2024-11-21 12:32:45.513113946] e/o: 4 | n/s: 1
[2024-11-21 12:32:45.913806988] e/o: 4 | n/s: 1
[2024-11-21 12:32:46.314546633] e/o: 4 | n/s: 1
[2024-11-21 12:32:46.715209852] e/o: 4 | n/s: 1
[2024-11-21 12:32:47.115713936] e/o: 4 | n/s: 1
[2024-11-21 12:32:47.516467149] e/o: 4 | n/s: 1
[2024-11-21 12:32:47.917068329] added n/s at k 0
[2024-11-21 12:32:47.917079946] n/s-buffer k 0 | status: 0
[2024-11-21 12:32:47.917083378] e/o: 4 | n/s: 0
[2024-11-21 12:32:48.317433083] n/s-buffer k 0 | status: 1
[2024-11-21 12:32:48.317450937] e/o: 4 | n/s: 0
[2024-11-21 12:32:48.717833366] n/s-buffer k 0 | status: 2
[2024-11-21 12:32:48.717846533] e/o: 4 | n/s: 0
[2024-11-21 12:32:49.118271285] n/s-buffer k 0 | status: 3
[2024-11-21 12:32:49.118286503] e/o: 4 | n/s: 0
[2024-11-21 12:32:49.518984420] n/s-buffer k 0 | status: 4
[2024-11-21 12:32:49.518999147] e/o: 4 | n/s: 0
[2024-11-21 12:32:49.919685587] n/s-buffer k 0 | status: 5
[2024-11-21 12:32:49.919698243] e/o: 4 | n/s: 0
[2024-11-21 12:32:50.320031795] n/s-buffer k 0 | status: 6
[2024-11-21 12:32:50.320045932] e/o: 4 | n/s: 0
[2024-11-21 12:32:50.720531597] e/o: 3 | n/s: 0
[2024-11-21 12:32:51.121351420] e/o: 3 | n/s: 0
[2024-11-21 12:32:51.522142002] e/o: 3 | n/s: 0
[2024-11-21 12:32:51.922978253] e/o: 3 | n/s: 0
[2024-11-21 12:32:52.323679202] e/o: 3 | n/s: 0
[2024-11-21 12:32:52.724082257] e/o: 3 | n/s: 0
[2024-11-21 12:32:53.124437563] e/o: 3 | n/s: 0
[2024-11-21 12:32:53.525359448] e/o: 3 | n/s: 0
[2024-11-21 12:32:53.926037788] e/o: 2 | n/s: 0
[2024-11-21 12:32:54.326654455] e/o: 2 | n/s: 0
[2024-11-21 12:32:54.727134495] e/o: 2 | n/s: 0
[2024-11-21 12:32:55.127881708] e/o: 2 | n/s: 0
[2024-11-21 12:32:55.528409961] e/o: 2 | n/s: 0
[2024-11-21 12:32:55.929102888] e/o: 2 | n/s: 0
[2024-11-21 12:32:56.329495349] e/o: 2 | n/s: 0
[2024-11-21 12:32:56.729993182] e/o: 1 | n/s: 0
[2024-11-21 12:32:57.130593081] e/o: 1 | n/s: 0
[2024-11-21 12:32:57.531026336] e/o: 1 | n/s: 0
[2024-11-21 12:32:57.931399850] e/o: 1 | n/s: 0
[2024-11-21 12:32:58.332055286] e/o: 1 | n/s: 0
[2024-11-21 12:32:58.732805505] e/o: 1 | n/s: 0
[2024-11-21 12:32:59.133427891] e/o: 1 | n/s: 0
[2024-11-21 12:32:59.533908231] e/o: 1 | n/s: 0
[2024-11-21 12:32:59.934577227] e/o: 0 | n/s: 0
[2024-11-21 12:33:00.335104792] e/o: 0 | n/s: 0
[2024-11-21 12:33:00.735701251] e/o: 0 | n/s: 0
[2024-11-21 12:33:01.136284531] e/o: 0 | n/s: 0
[2024-11-21 12:33:01.536758376] e/o: 0 | n/s: 0
[2024-11-21 12:33:01.937259995] e/o: 0 | n/s: 0
[2024-11-21 12:33:02.337720833] e/o: 0 | n/s: 0
