[2024-11-21 12:32:16.693912542] id: 0 | via: este-oeste | dir: derecha
[2024-11-21 12:32:16.794265479] id: 1 | via: este-oeste | dir: recto
[2024-11-21 12:32:16.894615333] id: 2 | via: este-oeste | dir: recto
[2024-11-21 12:32:16.995049246] id: 3 | via: norte-sur | dir: derecha
[2024-11-21 12:32:17.395848841] id: 4 | via: este-oeste | dir: recto
[2024-11-21 12:32:17.696296810] id: 5 | via: este-oeste | dir: derecha
[2024-11-21 12:32:17.996903249] id: 6 | via: este-oeste | dir: recto
[2024-11-21 12:32:18.297556612] id: 7 | via: norte-sur | dir: derecha
[2024-11-21 12:32:18.598131492] id: 8 | via: este-oeste | dir: recto
[2024-11-21 12:32:18.698496775] id: 9 | via: norte-sur | dir: derecha
[2024-11-21 12:32:18.798999787] id: 10 | via: este-oeste | dir: recto
[2024-11-21 12:32:19.199672110] id: 11 | via: este-oeste | dir: recto
[2024-11-21 12:32:19.400154938] id: 12 | via: este-oeste | dir: recto
[2024-11-21 12:32:19.500541611] id: 13 | via: este-oeste | dir: recto
[2024-11-21 12:32:19.700961036] id: 14 | via: este-oeste | dir: recto
[2024-11-21 12:32:19.901490024] id: 15 | via: este-oeste | dir: recto
[2024-11-21 12:32:20.302284846] id: 16 | via: norte-sur | dir: derecha
num vehiculos total: 17
