[2024-11-19 17:08:16.720464259] id: 0 | via: este-oeste | dir: derecha
[2024-11-19 17:08:16.820983784] id: 1 | via: este-oeste | dir: recto
[2024-11-19 17:08:16.921415901] id: 2 | via: este-oeste | dir: recto
[2024-11-19 17:08:17.021806488] id: 3 | via: norte-sur | dir: derecha
[2024-11-19 17:08:17.422545694] id: 4 | via: este-oeste | dir: recto
[2024-11-19 17:08:17.723185400] id: 5 | via: este-oeste | dir: derecha
[2024-11-19 17:08:18.023632588] id: 6 | via: este-oeste | dir: recto
[2024-11-19 17:08:18.324164618] id: 7 | via: norte-sur | dir: derecha
[2024-11-19 17:08:18.624925079] id: 8 | via: este-oeste | dir: recto
[2024-11-19 17:08:18.725159517] id: 9 | via: norte-sur | dir: derecha
[2024-11-19 17:08:18.825592181] id: 10 | via: este-oeste | dir: recto
num vehiculos total: 11
